education,gender,marital_status,occupation,race,workclass,age,hours_per_week,income
Bachelors,Female,Single,White-Collar,White,Private,28,60,0
Assoc,Male,Married,Professional,White,Self-Employed,30,65,1
Some-college,Male,Married,White-Collar,White,Private,32,50,0
Some-college,Female,Single,Service,White,Private,20,35,0
Some-college,Male,Married,White-Collar,White,Self-Employed,41,50,0
Some-college,Male,Divorced,Blue-Collar,White,Private,40,50,0
Bachelors,Male,Single,White-Collar,White,Private,24,40,0
Assoc,Male,Married,Service,Other,Private,54,38,1
Some-college,Male,Single,Service,White,Private,27,40,0
Some-college,Male,Married,Professional,White,Private,57,40,1
School,Female,Divorced,Other/Unknown,White,Other/Unknown,37,40,0
Assoc,Female,Single,Service,Other,Private,33,40,0
Some-college,Male,Divorced,Blue-Collar,White,Private,43,40,0
HS-grad,Male,Single,Blue-Collar,Other,Private,22,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,48,40,0
Masters,Male,Married,White-Collar,White,Private,43,43,1
Prof-school,Male,Married,White-Collar,Other,Government,66,55,1
Assoc,Male,Divorced,Sales,White,Self-Employed,49,50,0
Some-college,Female,Married,White-Collar,White,Private,26,42,0
Bachelors,Male,Single,White-Collar,White,Government,38,40,0
Assoc,Male,Single,White-Collar,White,Government,33,55,0
Assoc,Male,Divorced,White-Collar,White,Self-Employed,40,30,0
Bachelors,Female,Single,White-Collar,White,Private,25,40,0
School,Female,Single,Sales,Other,Private,17,15,0
HS-grad,Female,Divorced,Professional,White,Private,32,40,0
HS-grad,Female,Single,Other/Unknown,Other,Other/Unknown,18,40,0
School,Female,Married,White-Collar,White,Private,29,40,0
Masters,Male,Married,Sales,White,Private,52,40,0
School,Male,Married,Blue-Collar,White,Private,39,40,0
HS-grad,Male,Widowed,Service,White,Private,83,55,0
Some-college,Male,Married,Blue-Collar,White,Government,45,65,1
HS-grad,Male,Married,Blue-Collar,White,Private,34,43,1
HS-grad,Male,Married,Blue-Collar,White,Private,57,40,0
Assoc,Female,Married,Professional,White,Private,48,30,1
School,Male,Single,Blue-Collar,White,Private,26,55,0
Bachelors,Female,Single,Service,White,Private,23,20,0
Bachelors,Female,Single,Professional,White,Self-Employed,27,20,0
Some-college,Male,Married,Sales,White,Self-Employed,39,50,1
HS-grad,Male,Single,Service,Other,Private,22,80,0
HS-grad,Male,Widowed,Blue-Collar,White,Private,52,40,0
Bachelors,Male,Single,White-Collar,White,Private,65,40,0
School,Male,Married,Blue-Collar,White,Private,53,50,0
Bachelors,Male,Married,White-Collar,White,Government,47,60,1
HS-grad,Male,Married,Blue-Collar,White,Private,59,40,0
Masters,Male,Married,White-Collar,White,Government,53,70,1
Bachelors,Female,Widowed,White-Collar,White,Government,44,40,1
Some-college,Male,Single,White-Collar,Other,Government,28,40,0
Some-college,Male,Single,Other/Unknown,White,Other/Unknown,21,40,0
HS-grad,Female,Divorced,White-Collar,White,Private,27,40,0
Some-college,Male,Married,Sales,White,Self-Employed,48,70,1
HS-grad,Male,Single,Service,White,Private,20,35,0
HS-grad,Female,Single,Sales,White,Private,20,32,0
Some-college,Female,Widowed,Service,White,Private,65,24,0
Assoc,Female,Widowed,Other/Unknown,White,Other/Unknown,71,40,0
HS-grad,Female,Divorced,Service,White,Government,67,24,0
Some-college,Male,Single,Sales,White,Private,22,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,23,25,0
School,Male,Separated,White-Collar,White,Private,42,40,0
School,Male,Married,Service,White,Private,35,40,0
Assoc,Male,Divorced,Blue-Collar,White,Private,38,40,0
Doctorate,Male,Single,Professional,White,Self-Employed,42,7,0
School,Female,Single,Service,Other,Private,24,40,0
Bachelors,Female,Single,White-Collar,White,Private,23,60,0
School,Male,Married,Blue-Collar,White,Private,33,40,0
Some-college,Male,Married,Service,White,Government,35,61,1
HS-grad,Male,Married,Blue-Collar,White,Private,27,40,1
Some-college,Male,Married,White-Collar,White,Government,58,40,1
Some-college,Male,Single,Other/Unknown,White,Other/Unknown,18,4,0
Bachelors,Female,Married,White-Collar,White,Private,37,45,1
School,Male,Married,Blue-Collar,White,Private,27,32,0
Some-college,Female,Single,Service,White,Private,21,16,0
Some-college,Male,Married,White-Collar,White,Private,26,40,0
HS-grad,Male,Single,White-Collar,White,Private,45,40,0
School,Female,Divorced,Blue-Collar,White,Private,24,58,0
HS-grad,Male,Married,Blue-Collar,White,Private,50,60,1
Some-college,Male,Married,Blue-Collar,White,Private,35,45,0
Some-college,Female,Separated,White-Collar,White,Private,47,16,0
Assoc,Male,Married,White-Collar,White,Government,46,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,38,40,0
Some-college,Male,Single,White-Collar,White,Private,19,18,0
HS-grad,Male,Married,Blue-Collar,White,Private,48,70,0
HS-grad,Female,Single,Service,Other,Private,31,38,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,46,50,0
Bachelors,Female,Single,White-Collar,Other,Private,27,40,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,54,36,1
Bachelors,Male,Married,Other/Unknown,White,Other/Unknown,76,30,0
Bachelors,Male,Married,Professional,White,Private,44,45,0
Bachelors,Male,Married,Sales,White,Private,51,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,37,40,0
HS-grad,Female,Widowed,Sales,White,Private,54,37,0
Bachelors,Male,Married,Professional,White,Private,42,40,1
Bachelors,Male,Married,White-Collar,White,Private,44,56,1
Bachelors,Male,Married,Blue-Collar,White,Private,39,40,1
Bachelors,Female,Married,Blue-Collar,White,Self-Employed,39,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,45,40,0
Some-college,Male,Single,White-Collar,White,Government,27,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,40,50,1
Bachelors,Male,Married,Sales,White,Private,28,40,0
Bachelors,Female,Single,Professional,White,Government,27,60,0
HS-grad,Male,Married,Blue-Collar,White,Private,35,40,0
Masters,Male,Married,White-Collar,White,Private,55,40,1
HS-grad,Male,Married,White-Collar,White,Self-Employed,58,60,1
Bachelors,Male,Married,Sales,White,Private,49,45,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,29,37,0
School,Female,Single,Other/Unknown,White,Other/Unknown,17,20,0
Assoc,Female,Divorced,Professional,White,Private,40,40,0
School,Female,Single,White-Collar,White,Private,18,20,0
HS-grad,Female,Widowed,Sales,White,Private,53,35,0
Bachelors,Male,Married,Professional,White,Private,42,45,1
School,Female,Widowed,Blue-Collar,White,Private,56,40,0
HS-grad,Male,Married,Service,Other,Private,61,40,0
Some-college,Male,Single,White-Collar,White,Private,21,40,0
HS-grad,Male,Married,Service,White,Private,68,24,0
HS-grad,Female,Married,White-Collar,White,Private,54,40,0
HS-grad,Male,Single,Service,White,Private,20,35,0
Some-college,Female,Divorced,White-Collar,White,Private,39,40,0
Some-college,Female,Divorced,Professional,White,Private,50,40,0
Some-college,Male,Single,Sales,Other,Private,21,30,0
Bachelors,Female,Single,White-Collar,White,Private,31,50,1
Masters,Female,Single,Professional,White,Government,47,45,1
Assoc,Male,Married,Service,White,Private,46,40,0
Bachelors,Female,Single,Professional,White,Private,27,40,0
School,Male,Single,Sales,White,Private,19,20,0
Masters,Male,Married,Sales,White,Private,58,40,0
Masters,Male,Married,Sales,White,Private,36,45,1
Some-college,Male,Married,Sales,White,Private,69,25,0
Bachelors,Male,Married,White-Collar,White,Private,45,40,0
Some-college,Male,Married,Blue-Collar,White,Private,29,45,0
Assoc,Male,Single,Blue-Collar,White,Government,28,5,0
Bachelors,Male,Married,Professional,White,Private,29,75,0
HS-grad,Male,Single,Blue-Collar,White,Private,45,40,0
Masters,Male,Married,Professional,White,Self-Employed,70,30,1
Some-college,Male,Single,Blue-Collar,Other,Private,36,55,0
Some-college,Male,Married,Service,White,Government,38,40,1
Assoc,Male,Single,Service,Other,Private,19,16,0
Masters,Male,Married,Professional,White,Government,53,36,1
Prof-school,Female,Single,Professional,Other,Private,34,40,0
Masters,Male,Married,Professional,Other,Private,64,60,0
Bachelors,Male,Married,White-Collar,White,Private,43,45,1
HS-grad,Male,Married,Blue-Collar,White,Private,56,40,0
Some-college,Female,Single,Service,White,Private,24,25,0
